,State,2020 Pop,2020 % Change,2010 Pop,2010 % Change,2000 Pop, # of Missing Persons,"Missing People per 100,000 Residents",Unnamed: 0_x,Lat Count,Lat1 Count,Class Count,Title Count,Date Count,2001-2010 Count,Unnamed: 0_y,20 Lat,20 Lat 1,20 Class,20 Title,20 Date,20 year
0,Alabama,"5,024,279",5.1,"4,779,736",7.5,"4,447,100",204,4.2,13.0,13.0,13.0,13.0,13.0,13.0,13.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
1,Alaska,"733,391",3.3,"710,231",13.3,"626,932",309,41.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,Arizona,"7,151,502",11.9,"6,392,017",24.6,"5,130,632",915,13.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3,Arkansas,"3,011,524",3.3,"2,915,918",9.1,"2,673,400",200,6.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
4,California,"39,538,223",6.1,"37,253,956",10.0,"33,871,648","2,133",5.4,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
5,Colorado,"5,773,714",14.8,"5,029,196",16.9,"4,301,261",292,5.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
6,Connecticut,"3,605,944",0.9,"3,574,097",4.9,"3,405,565",197,5.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7,Delaware,"989,948",10.2,"897,934",14.6,"783,600",58,6.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,District of Columbia,"689,545",14.6,"601,723",5.2,"572,059",35,5.0,,,,,,,,,,,,,,
9,Florida,"21,538,187",14.6,"18,801,310",17.6,"15,982,378","1,252",6.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
10,Georgia,"10,711,908",10.6,"9,687,653",18.3,"8,186,453",250,2.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
11,Hawaii,"1,455,271",7.0,"1,360,301",12.3,"1,211,537",107,7.5,,,,,,,,,,,,,,
12,Idaho,"1,839,106",17.3,"1,567,582",21.1,"1,293,953",101,5.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
13,Illinois,"12,812,508",-0.1,"12,830,632",3.3,"12,419,293",317,2.5,14.0,14.0,14.0,14.0,14.0,14.0,14.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
14,Indiana,"6,785,528",4.7,"6,483,802",6.6,"6,080,485",174,2.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
15,Iowa,"3,190,369",4.7,"3,046,355",4.1,"2,926,324",86,2.7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
16,Kansas,"2,937,880",3.0,"2,853,118",6.1,"2,688,418",81,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
17,Kentucky,"4,505,836",3.8,"4,339,367",7.4,"4,041,769",248,5.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
18,Louisiana,"4,657,757",2.7,"4,533,372",1.4,"4,468,976",266,5.7,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Maine,"1,362,359",2.6,"1,328,361",4.2,"1,274,923",108,8.1,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
20,Maryland,"6,177,224",7.0,"5,773,552",9.0,"5,296,486",183,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
21,Massachusetts,"7,029,917",7.4,"6,547,629",3.1,"6,349,097",126,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
22,Michigan,"10,077,331",2.0,"9,883,640",-0.6,"9,938,444",556,5.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
23,Minnesota,"5,706,494",7.6,"5,303,925",7.8,"4,919,479",179,3.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
24,Mississippi,"2,961,279",-0.2,"2,967,297",4.3,"2,844,658",115,3.9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
25,Missouri,"6,154,913",2.8,"5,988,927",7.0,"5,595,211",316,5.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
26,Montana,"1,084,225",9.6,"989,415",9.7,"902,195",71,6.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
27,Nebraska,"1,961,504",7.4,"1,826,341",6.7,"1,711,263",61,3.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
28,Nevada,"3,104,614",15.0,"2,700,551",35.1,"1,998,257",192,6.4,,,,,,,,,,,,,,
29,New Hampshire,"1,377,529",4.6,"1,316,470",6.5,"1,235,786",35,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
30,New Jersey,"9,288,994",5.7,"8,791,894",4.5,"8,414,350",299,3.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
31,New Mexico,"2,117,522",2.8,"2,059,179",13.2,"1,819,046",143,6.8,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,New York,"20,201,249",4.2,"19,378,102",2.1,"18,976,457",606,3.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
33,North Carolina,"10,439,388",9.5,"9,535,483",18.5,"8,049,313",327,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
34,North Dakota,"779,094",15.8,"672,591",4.7,"642,200",31,4.1,,,,,,,,,,,,,,
35,Ohio,"11,799,448",2.3,"11,536,504",1.6,"11,353,140",358,3.1,24.0,24.0,24.0,24.0,24.0,24.0,24.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
36,Oklahoma,"3,959,353",5.5,"3,751,351",8.7,"3,450,654",252,6.4,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
37,Oregon,"4,237,256",10.6,"3,831,074",12.0,"3,421,399",432,10.4,17.0,17.0,17.0,17.0,17.0,17.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
38,Pennsylvania,"13,002,700",2.4,"12,702,379",3.4,"12,281,054",401,3.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
39,Rhode Island,"1,097,379",4.3,"1,052,567",0.4,"1,048,319",20,1.9,,,,,,,,,,,,,,
40,South Carolina,"5,118,425",10.7,"4,625,364",15.3,"4,012,012",184,3.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
41,South Dakota,"886,667",8.9,"814,180",7.9,"754,844",23,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,Tennessee,"6,910,840",8.9,"6,346,105",11.5,"5,689,283",361,5.4,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
43,Texas,"29,145,505",15.9,"25,145,561",20.6,"20,851,820","1,246",4.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
44,Utah,"3,271,616",18.4,"2,763,885",23.8,"2,233,169",107,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
45,Vermont,"643,077",2.8,"625,741",2.8,"608,827",54,8.7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
46,Virginia,"8,631,393",7.9,"8,001,024",13.0,"7,078,515",239,2.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
47,Washington,"7,705,281",14.6,"6,724,540",14.1,"5,894,121",643,8.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
48,West Virginia,"1,793,716",-3.2,"1,852,994",2.5,"1,808,344",120,6.6,14.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
49,Wisconsin,"5,893,718",3.6,"5,686,986",6.0,"5,363,675",149,2.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
50,Wyoming,"576,851",2.3,"563,626",14.1,"493,782",45,7.8,,,,,,,,,,,,,,
